epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1565.51,0.81398,0.58346,1.04918,0.98741,1,0.99488,0.79416,0.73919,0.44191,0.96608,0.00132868,0.00132868,0.00132868
43,1602.9,0.85242,0.59492,1.07182,0.98792,1,0.99488,0.78275,0.76949,0.44841,0.97915,0.00132043,0.00132043,0.00132043
44,1640.18,0.84701,0.57203,1.07174,0.9982,0.99991,0.995,0.79119,0.7469,0.42967,0.96577,0.00131218,0.00131218,0.00131218
45,1677.54,0.86767,0.57101,1.08238,0.99277,0.99468,0.99447,0.79983,0.75574,0.43051,0.96605,0.00130393,0.00130393,0.00130393
46,1714.82,0.88372,0.61103,1.10126,0.9889,0.99468,0.99479,0.79888,0.72678,0.42877,0.96096,0.00129568,0.00129568,0.00129568
47,1752.16,0.84988,0.57811,1.07463,0.99786,0.99468,0.9947,0.80014,0.72904,0.40922,0.95614,0.00128742,0.00128742,0.00128742
48,1789.51,0.87231,0.57635,1.09322,0.99125,0.99468,0.9949,0.79383,0.75322,0.42594,0.95449,0.00127917,0.00127917,0.00127917
49,1826.91,0.85065,0.56013,1.07034,0.99308,1,0.99495,0.78396,0.77923,0.43933,0.96585,0.00127092,0.00127092,0.00127092
50,1864.16,0.84738,0.57247,1.06476,0.99496,0.99468,0.99495,0.79625,0.75193,0.43233,0.94386,0.00126267,0.00126267,0.00126267
51,1901.27,0.84474,0.55262,1.07609,0.99943,0.9991,0.995,0.78695,0.77412,0.4169,0.96351,0.00125442,0.00125442,0.00125442
52,1938.49,0.8266,0.53793,1.06361,0.9871,1,0.99494,0.79925,0.74213,0.41842,0.95672,0.00124617,0.00124617,0.00124617
53,1975.6,0.78276,0.5252,1.04839,0.9932,1,0.995,0.8168,0.70266,0.40747,0.94515,0.00123791,0.00123791,0.00123791
54,2012.82,0.85607,0.56141,1.095,0.99693,0.99468,0.99485,0.80557,0.72656,0.41524,0.95805,0.00122966,0.00122966,0.00122966
55,2050.15,0.8262,0.55953,1.07213,0.98325,0.99572,0.99468,0.80052,0.74168,0.41126,0.97115,0.00122141,0.00122141,0.00122141
56,2087.52,0.81705,0.53211,1.07331,0.99154,0.99284,0.99463,0.79364,0.73947,0.43149,0.95698,0.00121316,0.00121316,0.00121316
57,2124.9,0.80555,0.53259,1.06251,0.99207,1,0.99463,0.80581,0.71735,0.40978,0.94071,0.00120491,0.00120491,0.00120491
58,2162.29,0.80684,0.5465,1.05312,0.98996,1,0.99432,0.80861,0.71141,0.41933,0.94306,0.00119666,0.00119666,0.00119666
59,2199.69,0.79447,0.5219,1.03739,0.99177,1,0.99495,0.81305,0.70191,0.39389,0.93883,0.0011884,0.0011884,0.0011884
60,2236.92,0.81718,0.52871,1.06238,0.99754,1,0.995,0.81593,0.72364,0.40432,0.94004,0.00118015,0.00118015,0.00118015
61,2274.21,0.81832,0.5073,1.05871,0.99285,0.99794,0.995,0.79641,0.74821,0.40894,0.96303,0.0011719,0.0011719,0.0011719
62,2311.7,0.8183,0.54972,1.06802,0.99524,1,0.995,0.81974,0.69378,0.39399,0.93446,0.00116365,0.00116365,0.00116365
63,2349.1,0.80745,0.50645,1.05267,0.99728,1,0.995,0.81978,0.67699,0.37909,0.93282,0.0011554,0.0011554,0.0011554
64,2386.42,0.77882,0.52997,1.05301,0.99624,1,0.995,0.82262,0.67438,0.38778,0.92104,0.00114715,0.00114715,0.00114715
65,2423.07,0.8018,0.54685,1.07274,0.98962,0.99574,0.995,0.81732,0.69578,0.4002,0.93316,0.00113889,0.00113889,0.00113889
66,2459.64,0.78706,0.50167,1.04875,0.98244,1,0.995,0.82054,0.692,0.38809,0.93137,0.00113064,0.00113064,0.00113064
67,2496.26,0.80192,0.50662,1.06436,0.99859,1,0.995,0.82817,0.67834,0.37339,0.91816,0.00112239,0.00112239,0.00112239
68,2532.81,0.78806,0.4942,1.04825,0.99882,1,0.995,0.82115,0.68055,0.36123,0.93133,0.00111414,0.00111414,0.00111414
69,2569.46,0.80448,0.50035,1.05527,0.99913,1,0.995,0.83046,0.65207,0.35857,0.91656,0.00110589,0.00110589,0.00110589
70,2606.05,0.78638,0.48338,1.04906,0.99846,0.99968,0.995,0.83546,0.66106,0.35873,0.91611,0.00109764,0.00109764,0.00109764
71,2642.79,0.76971,0.47985,1.03488,0.99928,0.99662,0.995,0.84045,0.6508,0.35325,0.91133,0.00108938,0.00108938,0.00108938
72,2679.49,0.78476,0.51096,1.05685,0.99098,0.98817,0.99409,0.83046,0.6709,0.37969,0.92465,0.00108113,0.00108113,0.00108113
73,2716.12,0.77389,0.48276,1.05253,0.99677,1,0.995,0.82511,0.69659,0.37306,0.93856,0.00107288,0.00107288,0.00107288
74,2752.84,0.745,0.46691,1.02444,0.9826,0.99181,0.99461,0.83045,0.67808,0.36958,0.93146,0.00106463,0.00106463,0.00106463
75,2789.38,0.75574,0.4728,1.04718,0.99104,0.99297,0.99453,0.83296,0.64778,0.35296,0.91287,0.00105638,0.00105638,0.00105638
76,2826.03,0.77942,0.4916,1.06089,0.99864,1,0.995,0.82761,0.68604,0.35482,0.92237,0.00104813,0.00104813,0.00104813
77,2862.67,0.79673,0.50453,1.0773,0.99683,1,0.995,0.8378,0.6671,0.3478,0.9195,0.00103987,0.00103987,0.00103987
78,2899.93,0.76569,0.47439,1.0413,0.99358,1,0.995,0.84202,0.66867,0.35231,0.91705,0.00103162,0.00103162,0.00103162
79,2937.27,0.7713,0.49529,1.04005,0.9922,0.99468,0.99472,0.82664,0.68186,0.35833,0.93418,0.00102337,0.00102337,0.00102337
80,2974.68,0.75355,0.481,1.02338,0.99347,1,0.995,0.82664,0.67498,0.34872,0.92594,0.00101512,0.00101512,0.00101512
81,3012.06,0.76265,0.48298,1.03644,0.9926,1,0.995,0.82633,0.66297,0.35616,0.9214,0.00100687,0.00100687,0.00100687
82,3049.15,0.75972,0.47114,1.05435,0.99706,1,0.995,0.82664,0.67292,0.34978,0.92733,0.000998616,0.000998616,0.000998616
83,3086.8,0.75766,0.48038,1.03447,0.99874,1,0.995,0.83243,0.64508,0.34129,0.91573,0.000990365,0.000990365,0.000990365
84,3124.31,0.74406,0.48576,1.03152,0.99831,0.99982,0.995,0.84241,0.64307,0.33614,0.91647,0.000982113,0.000982113,0.000982113
85,3161.82,0.73489,0.46615,1.0303,0.98447,1,0.99489,0.84818,0.62098,0.34335,0.90246,0.000973861,0.000973861,0.000973861
86,3199.39,0.72786,0.44432,1.0279,0.98462,1,0.99482,0.83414,0.64857,0.33818,0.91567,0.00096561,0.00096561,0.00096561
87,3236.71,0.74022,0.44679,1.02307,0.99843,1,0.995,0.83317,0.62462,0.33158,0.90393,0.000957358,0.000957358,0.000957358
88,3274.09,0.71731,0.46453,1.0202,0.99831,1,0.995,0.84124,0.63388,0.33216,0.9062,0.000949106,0.000949106,0.000949106
89,3311.53,0.74888,0.46861,1.0361,0.99866,1,0.995,0.84424,0.62532,0.33657,0.90872,0.000940855,0.000940855,0.000940855
90,3349.02,0.72798,0.4588,1.03296,0.98586,0.98497,0.99349,0.84205,0.62293,0.35256,0.90845,0.000932603,0.000932603,0.000932603
91,3386.45,0.72692,0.45182,1.03394,0.99919,1,0.995,0.84793,0.61099,0.32532,0.90545,0.000924352,0.000924352,0.000924352
92,3423.95,0.73024,0.4558,1.0265,0.99642,1,0.995,0.82948,0.6468,0.33605,0.91888,0.0009161,0.0009161,0.0009161
93,3461.33,0.70912,0.45536,1.01539,0.99922,1,0.995,0.83526,0.64245,0.3348,0.91458,0.000907848,0.000907848,0.000907848
94,3498.68,0.71465,0.47064,1.0096,0.99322,1,0.995,0.83994,0.63254,0.33923,0.91032,0.000899597,0.000899597,0.000899597
95,3536.23,0.76019,0.4665,1.05177,0.99849,1,0.995,0.85069,0.61269,0.32392,0.90325,0.000891345,0.000891345,0.000891345
96,3573.63,0.7442,0.44938,1.0381,0.99849,1,0.995,0.84458,0.6092,0.32078,0.90322,0.000883093,0.000883093,0.000883093
97,3611.04,0.70721,0.44252,1.01491,0.9983,1,0.995,0.84826,0.61512,0.32122,0.90173,0.000874842,0.000874842,0.000874842
98,3648.32,0.71015,0.4318,1.01136,0.99871,1,0.995,0.8507,0.60509,0.31591,0.90079,0.00086659,0.00086659,0.00086659
99,3685.61,0.74635,0.43886,1.03259,0.99793,1,0.995,0.84707,0.61618,0.32183,0.90296,0.000858338,0.000858338,0.000858338
100,3722.92,0.71453,0.43527,1.02761,0.99824,1,0.995,0.84124,0.63527,0.31295,0.90818,0.000850087,0.000850087,0.000850087
101,3760.17,0.71728,0.43752,1.01425,0.99448,0.99696,0.995,0.85191,0.62006,0.32324,0.90613,0.000841835,0.000841835,0.000841835
102,3797.6,0.70026,0.44124,1.00289,0.99585,0.99912,0.995,0.85123,0.61233,0.30858,0.89975,0.000833583,0.000833583,0.000833583
103,3835.12,0.71695,0.4344,1.02605,0.99693,0.9993,0.995,0.84263,0.61106,0.31286,0.89941,0.000825332,0.000825332,0.000825332
104,3872.59,0.69956,0.43197,1.01455,0.99724,1,0.995,0.84553,0.60038,0.30752,0.89651,0.00081708,0.00081708,0.00081708
105,3912.08,0.69144,0.4377,1.01025,0.99857,1,0.995,0.84881,0.60984,0.30961,0.90025,0.000808828,0.000808828,0.000808828
106,3955.26,0.68348,0.43212,1.00622,0.99716,1,0.995,0.84872,0.59528,0.3058,0.89198,0.000800577,0.000800577,0.000800577
107,3996.8,0.68706,0.41173,1.00173,0.99821,1,0.995,0.85609,0.59099,0.30329,0.89673,0.000792325,0.000792325,0.000792325
108,4037.93,0.70273,0.42623,1.00999,0.99877,1,0.995,0.84814,0.61856,0.31467,0.903,0.000784073,0.000784073,0.000784073
109,4079.22,0.71053,0.46736,1.02757,0.99936,0.99793,0.995,0.82888,0.64285,0.32483,0.91581,0.000775822,0.000775822,0.000775822
110,4120.67,0.74655,0.442,1.02887,0.99709,1,0.995,0.85265,0.58052,0.31014,0.89137,0.00076757,0.00076757,0.00076757
111,4161.99,0.72029,0.45975,1.02058,0.99711,1,0.995,0.84628,0.59823,0.31348,0.89595,0.000759318,0.000759318,0.000759318
112,4203.24,0.68543,0.42713,0.99133,0.99916,1,0.995,0.85432,0.5769,0.3062,0.88961,0.000751067,0.000751067,0.000751067
